"","site","site_label","ocean","coast","latitude","longitude","x_offset","y_offset","calcite","chlomax","chlomean","chlomin","chlorange","cloudmax","cloudmean","cloudmin","damax","damean","damin","dissox","nitrate","parmax","parmean","ph","phos","phosphate","salinity","silicate","sstmax","sstmean","sstmin","sstrange","precip"
"1","BB.A","BB","Pacific","East Pacific",38.319755,-123.055136,-1,0.25,0.00293300005917748,14.7913335164388,7.664000193278,2.38466668128967,12.4066664377848,0.641333341598511,0.546333312988281,0.455333332220713,0.340000003576279,0.260000005364418,0.176666667064031,6.21166674296061,3.67300001780192,57.0443331400553,35.3173344930013,8.20966657002767,0.754900018374125,0.754900018374125,33.4536666870117,7.5973334312439,14.3869997660319,12.1969998677572,10.8133331934611,3.57366673151652,91.5833333333333
"2","BB.B","","Pacific","East Pacific",38.1496437,-122.9063846,-1,0,0.00204749999102205,16.5370001792908,8.31249976158142,2.37799990177155,14.1589999198914,0.627000004053116,0.541500002145767,0.459999993443489,0.368000000715256,0.277999997138977,0.180999994277954,6.29100012779236,4.7590000629425,55.1110000610352,35.056001663208,8.21449995040894,0.789450019598007,0.789450019598007,33.4665012359619,8.8580002784729,14.5749998092651,12.4310002326965,10.7609996795654,3.81400001049042,82.9074074074074
"3","BC.A","BC","Pacific","East Pacific",49,-123.1,-1,0.25,0.0100334999539579,20.6601668198903,11.3398333390554,3.66683332125346,16.993333419164,0.886833349863688,0.681166668732961,0.471333329876264,0.438333327571551,0.33916666607062,0.229666665196419,6.65733329455058,7.58916664123535,51.6163330078125,33.0551675160726,7.89099995295207,1.24956665436427,1.24956665436427,25.9654995600382,39.6481666564941,16.5971666971842,10.9563334782918,5.70333328346411,10.8938334782918,87.2
"4","BC.B","","Pacific","East Pacific",49,-122.8,-1,0,0.00431699998443946,45.9347505569458,20.7454996109009,3.89699995517731,42.0377497673035,0.866249993443489,0.681250005960464,0.482500001788139,0.680250003933907,0.450249999761581,0.241500005125999,6.41275012493134,7.80375003814697,52.8027496337891,33.2987499237061,7.87950003147125,1.1205749809742,1.1205749809742,27.1259994506836,37.7704992294312,17.0485000610352,10.664999961853,4.17625002190471,12.8722500801086,92.0980392156863
"5","CR.A","CR","Atlantic","East Atlantic",44.21154996,15.4906946,0,-0.75,0.00047699999413453,0.734000027179718,0.612999975681305,0.538999974727631,0.195000097155571,0.801999986171722,0.656000018119812,0.444000005722046,0.101999998092651,0.0900000035762787,0.0810000002384186,5.58599996566772,0.606000006198883,56.7519989013672,33.1430015563965,8.24699974060059,0.0348000004887581,0.0348000004887581,38.4339981079102,3.55100011825562,24.8369998931885,15.7770004272461,8.19600009918213,16.6410007476807,84.8208333333333
"6","CR.B","","Atlantic","East Atlantic",44.20557132,15.47773378,-1,0,0.00047699999413453,0.734000027179718,0.612999975681305,0.538999974727631,0.195000097155571,0.801999986171722,0.656000018119812,0.444000005722046,0.101999998092651,0.0900000035762787,0.0810000002384186,5.58599996566772,0.606000006198883,56.7519989013672,33.1430015563965,8.24699974060059,0.0348000004887581,0.0348000004887581,38.4339981079102,3.55100011825562,24.8369998931885,15.7770004272461,8.19600009918213,16.6410007476807,84.7458333333333
"7","ES.A","ES","Atlantic","West Atlantic",37.265686,-75.812668,0.75,-0.5,0.0193054003641009,6.24200000762939,4.74360003471375,3.64060010910034,2.60140001773834,0.586000001430511,0.503400003910065,0.420600003004074,0.290600001811981,0.262200003862381,0.235599994659424,6.06280002593994,0.646999990940094,51.1998008728027,34.2850006103516,8.2818000793457,0.249199998378754,0.249199998378754,26.423999786377,1.12380001544952,26.5940002441406,16.0202001571655,5.65480003356934,20.9391998291016,88.3846153846154
"8","ES.B","","Atlantic","West Atlantic",37.31855,-75.789076,1,0,0.0206026666176816,8.25216666857401,5.50066673755646,3.78750010331472,4.46466664473216,0.587166657050451,0.50300000111262,0.423333336909612,0.327833334604899,0.276666668554147,0.239999997119109,6.11366661389669,0.782666663328807,50.8283335367839,34.152333577474,8.27316665649414,0.270133336385091,0.270133336385091,26.449166615804,1.25233334302902,26.9483334223429,15.863333384196,5.34183327356974,21.6064999898275,87.8611111111111
"9","FI.A","FI","Atlantic","East Atlantic",59.92025,21.79618333,0,-0.75,0.000417666669818573,20.5865001678467,12.8430000940959,4.7650000055631,15.8215001424154,0.842333326737086,0.747166663408279,0.645666668812434,0.448666671911875,0.374166667461395,0.256500000754992,7.78649997711182,1.67683333158493,48.5830008188883,36.7349993387858,8.25583346684774,0.19010000427564,0.19010000427564,6.23933331171672,10.7600000699361,18.9173332850138,8.20366684595744,0.853666663169861,18.0636669794718,51.5119047619048
"10","FI.B","","Atlantic","East Atlantic",60.10785,21.70995,-1,0,0.00101274999178713,34.3738753795624,24.0160001516342,13.9420000910759,20.4318748116493,0.829249992966652,0.731250002980232,0.649499997496605,0.578624997287989,0.501874998211861,0.400375004857779,7.7537499666214,1.63650001585484,47.8647499084473,36.5476245880127,8.24387502670288,0.18610000051558,0.18610000051558,6.171875,11.009124994278,18.2065002918243,7.9881249666214,0.7052499987185,17.5012495517731,52.1157407407407
"11","FR.A","FR","Atlantic","East Atlantic",43.446971,3.661503,0,-0.75,0.00384500009628634,4.0446666876475,1.65333334604899,0.607000013192495,3.43766661485036,0.618333319822947,0.489000002543132,0.336333334445953,0.220000003774961,0.143999998768171,0.0869999999801318,5.56333351135254,1.84100000063578,56.1839993794759,33.7876663208008,8.27233346303304,0.242866665124893,0.242866665124893,37.3333333333333,1.48133333524068,23.6016661326091,16.4740002950033,10.201000213623,13.4006668726603,58.3916666666667
"12","FR.B","","Atlantic","East Atlantic",43.082895,2.973231,-1,0,0.00668899994343519,22.0990009307861,6.26900005340576,1.68499994277954,20.4139995574951,0.647000014781952,0.532999992370605,0.388000011444092,0.41100001335144,0.248999997973442,0.165000006556511,5.40700006484985,1.77699995040894,54.1279983520508,32.8549995422363,8.27499961853027,0.235499992966652,0.235499992966652,37.4490013122559,1.442999958992,22.6979999542236,16.6009998321533,10.923999786377,11.7740001678467,52.85
