Site,Seagrass.pct.cover.site,Macroalgae.pct.cover.site,Zostera.AG.mass.site,Zostera.BG.mass.site,Zostera.shoots.core.site,Zostera.sheath.width.site,Zostera.sheath.length.site,Zostera.longest.leaf.length.site,epibiota.filter.site,epibiota.zostera.marina.site,periphyton.mass.per.g.zostera.site,mesograzer.abund.per.g.plant.site,crustacean.abund.per.g.plant.site,gastropod.abund.per.g.plant.site,mesograzer.mass.per.g.plant.site,crustacean.mass.per.g.plant.site,gastropod.mass.per.g.plant.site,mesograzer.mass.per.area.site,crustacean.mass.per.area.site,gastropod.mass.per.area.site,periphyton.mass.per.area.site,log10.grazer.richness.site,crust.pct.mass.site,gast.pct.mass.site,Leaf.PercN.site,log10.Macroalgae.pct.cover.site,log10.Zostera.AG.mass.site,log10.Zostera.BG.mass.site,log10.Zostera.shoots.core.site,log10.Zostera.sheath.width.site,log10.Zostera.sheath.length.site,log10.Zostera.longest.leaf.length.cm.site,log10.periphyton.mass.per.g.zostera.site,log10.mesograzer.abund.per.g.plant.site,log10.crustacean.abund.per.g.plant.site,log10.gastropod.abund.per.g.plant.site,log10.mesograzer.mass.per.g.plant.site,log10.crustacean.mass.per.g.plant.site,log10.gastropod.mass.per.g.plant.site,log10.mesograzer.abund.per.area.site,log10.mesograzer.mass.per.area.site,log10.crustacean.mass.per.area.site,log10.gastropod.mass.per.area.site,log10.periphyton.mass.per.area.site,log10.Leaf.PercN.site,log10.predation.gastropods.site,predation.amphipods,predation.squidpops,predation.gastropods,grazer.richness.site,Ocean,Coast,Latitude,Longitude,Temperature.C,Salinity.ppt,log10.mean.fetch,day.length,log10.day.length,sst.min,sst.mean,sst.max,sst.range,salinity,parmean,cloudmean,precipitation,nitrate,sqrt.nitrate,ph,phosphate,log10.phosphate,chlomean,log10.chlomean,pop.density.2015,FC1,FC2,Site.1,PC1.env.global,PC2.env.global,PC3.env.global,PC1.zos.site,PC2.zos.site,zLatitude,zPC1.zos.site,zPC2.zos.site,zPC1.env.global,zPC2.env.global,zPC3.env.global,zFC1,zFC2,zcanopy,zshoots,zagbiomass,zbgbiomass,zperiphyton,zperiphyton.perg,zmesograzer.mass,zmesograzer.mass.perg,zmesograzer.abund,zmesograzer.abund.perg,rLatitude,rPC1.zos.site,rPC2.zos.site,rPC1.env.global,rPC2.env.global,rPC3.env.global,rFC1,rFC2,rcanopy,rshoots,ragbiomass,rbgbiomass,rperiphyton,rperiphyton.perg,rmesograzer.mass,rmesograzer.mass.perg,rmesograzer.abund,rmesograzer.abund.perg
SD.A,97,0,353.225,303.575,356.5062389,0.386,12.005,65.178,1.940165,2.04859,1.071013164,28.69083789,20.86798074,7.822857154,27.95132533,6.931530594,21.01979473,10272.22722,2491.7382,7780.489024,377.3637083,1.397940009,0.276171555,0.723828445,1.334179008,-1,2.539268562,2.469837079,2.522060372,-0.415339691,1.039311929,1.803471957,0.001340115,1.411951773,1.24146491,0.851306592,1.381576523,0.764491917,1.232482208,3.949803076,3.919415537,3.301828114,3.770254759,2.53899516,0.123761092,-1.255272505,0.894736842,0.85,0.055555556,24,Pacific,East Pacific,32.713756,-117.225474,19.44,35,-0.196372205,14.12,1.149834697,14.53899988,17.20999972,21.40766716,6.868666808,33.49266688,40.99099986,0.463333338,21.82575758,0.097000003,0.311448235,8.219666481,0.357133329,-0.447169618,2.902666688,0.462797169,250,-728,1718,SD.A,2.793526192,0.382207389,-0.067058457,-0.320978217,-1.41523886,-1.182144724,-0.178373402,-1.258546656,1.657983612,0.2684131,-0.058047744,-1.105047063,2.893393,0.447200588,0.115169639,1.514699536,0.845855349,2.169877483,1.726679524,1.344557231,0.800921232,1.334776483,0.773142862,0.06225956,0.448216465,0.190160451,0.900162723,0.629501621,0.505230387,0.174025974,0.926741249,0.573452056,0.580306204,0.970563409,0.753827716,1,1,0.835715135,0.767598874,0.941262088,0.819436372
OR.A,93.75,0.15,286.8,79.35,170.2953909,0.866,43.941,117.72,5.4145,6.339,0.713800473,1.293258407,0.633187982,0.016427993,2.953483647,2.203855504,0.002495412,729.8474351,542.5459277,0.58098557,217.6765182,0.954242509,0.699420525,0.000722714,2.879417765,-0.843791097,2.420754664,1.832094921,2.202578478,-0.064636745,1.638142361,2.066701294,-0.163284696,0.065152578,-0.311161737,-1.877658854,0.328746876,0.058124457,-1.946655256,2.481615315,2.745966022,2.452177043,0.083238346,2.270716628,0.457557986,-0.903089987,0.9,0.736842105,0.125,8,Pacific,East Pacific,44.61273333,-124.0141333,17,36,0.066325925,14.22,1.152899596,8.599666913,11.38466676,14.27333323,5.673666636,32.64866638,31.32666715,0.668666661,168.0416667,3.951333364,1.987796107,8.191333453,0.661233326,-0.179645266,5.263333321,0.721260874,5,-1019,-265,OR.A,-0.570791279,1.74776122,-1.584209406,-2.883850582,0.020524202,-0.011004875,-1.602607935,0.018251806,-0.338769899,1.22740172,-1.371337579,-1.524466256,-0.475838047,1.413005314,-0.689285826,1.161317925,-0.748050296,1.813834772,1.473398024,-0.057327019,-0.547958502,-0.369138348,-0.831346001,0.385188474,0.109519635,0.437947969,0.336086099,0.856413199,0.223634377,0.022857143,0.211115121,0.765621906,0.395392512,0.890343299,0.466830059,0.924193586,0.945149565,0.585507034,0.528612459,0.591384018,0.49598038
WA.A,NA,NA,169.65,54.16666667,103.4504711,1.041,28.039,121.11,5.097575,6.753,0.762548891,1.475897154,1.475897154,0,0.739804035,0.739804035,0,117.4432799,117.4432799,0,131.0137939,1.204119983,1,0,2.101003793,NA,2.157607553,1.605434728,1.955208324,0.016666046,1.438905805,2.080650436,-0.128700472,-0.009871295,-0.009871295,-2,-0.407770292,-0.407770292,-2,2.158682538,1.756016014,1.756016014,0,2.025074122,0.319409987,NA,0.7,0.9,NA,15,Pacific,East Pacific,46.474,-124.028,17,23,0.389609016,15.68,1.195346058,8.0697999,12.17259998,16.54920025,8.479399967,15.08259983,30.69560013,0.717000008,179.1785714,3.840600014,1.959744885,8.17539978,0.730420005,-0.136427341,12.34800005,1.091596623,50,-739,-447,WA.A,-1.443177109,0.792589836,-0.240914012,-2.832790721,1.030120927,0.172187638,-1.574233047,0.916068152,-0.856538952,0.556612721,-0.208542151,-1.120901396,-0.785066514,1.464185579,-1.312163917,0.376672823,-1.314540932,1.487833199,1.526607161,-1.23999002,-1.491580373,-0.743920078,-0.920724558,0.435701792,0.116267459,0.612186653,0.189817961,0.697694121,0.47296133,0.168311688,0.145434861,0.775805439,0.252216546,0.712223346,0.364828109,0.854783345,0.956672492,0.37442551,0.361427199,0.514427174,0.477962162
MX.A,79.95,20.1,241.375,161.55,358.0977846,0.75625,20.634,80.54225,1.4920605,3.39489,0.434633436,71.50179672,65.73845713,2.510137201,36.88663371,24.29361542,11.01298792,9552.622772,6066.380833,3091.312598,106.1782257,1.322219295,0.692152797,0.247793132,2.205975682,0.924280911,2.362422596,2.195174726,2.532152748,-0.12248819,1.313808294,1.9052673,-0.387565112,1.731049739,1.691687268,0.20695186,1.439913354,1.262860374,0.668434669,4.091388462,3.800146088,3.623007011,3.011972558,1.972276747,0.341880638,#NAME?,NA,0.8,0,20,Pacific,East Pacific,30.419675,-115.9641889,17.855,34,0.374519227,14.08,1.148602655,14.51799965,17.06075001,20.66474962,6.146749973,33.56949997,42.52075005,0.462250009,13.51282051,0.170249995,0.412613615,8.23300004,0.389024995,-0.410022494,2.252249986,0.352616593,5,-884,1610,MX.A,2.6993541,1.328020964,-0.061789765,-1.564354393,-0.678983962,-1.40793637,-0.869340035,-0.603808317,1.602091605,0.932630383,-0.053487012,-1.329890341,2.709894789,0.820694002,0.140582243,0.987384908,0.159393164,1.41776378,1.12833412,1.202069668,0.87566207,1.499094322,1.1532954,0,0.283897876,0.317225131,0.884373406,0.78666573,0.506208301,0.092987013,0.887766149,0.647767466,0.586147595,0.850859282,0.630223763,0.839864598,0.870422807,0.810283975,0.780841008,0.975002747,0.896073001
VA.A,99.75,2,329.4,691.2777778,1858.925388,0.3075,8.3075,40.06375,0.140105,0.60944,0.243931692,39.97969588,39.93117602,0.048519855,33.28014125,32.80866596,0.471475287,10927.59366,10802.62493,124.968732,82.85560733,1.113943352,0.98226,0.01774,2.161312342,-0.599135725,2.506251589,2.820208033,3.247180114,-0.51437946,0.916032665,1.600720521,-0.637729048,1.543274148,1.542664591,-1.772640561,1.473581481,1.465064983,-1.647952979,4.048026522,3.97831734,3.969798658,0.411229494,1.865745375,0.331733431,-0.698970004,0.55,0.35,0.2,12,Atlantic,West Atlantic,37.2204206,-76.4013352,27.44,18.27,0.848266113,14.633,1.165333373,4.924800014,16.03780022,27.75079994,22.82599983,16.64960003,34.11499939,0.505800009,93.00595238,1.083400011,1.04086503,8.305000114,0.35068,-0.455089002,16.02240028,1.204727577,250,636,54,VA.A,-0.281518049,-0.106671874,2.492264408,1.156196933,-2.517091582,-0.738582698,0.64251955,-2.238404613,-0.167083564,-0.074912545,2.157376308,0.860890323,0.0661613,-0.296706977,1.941021273,1.416250397,1.721535645,1.276381919,0.743447442,1.414925414,0.918797495,1.448770341,0.929591788,0.184566903,0.643432796,0,0.384586952,0.54826545,0.980262292,0.882597403,0.326236016,0.425433931,1,0.948214763,0.911502164,0.809762446,0.787072062,0.848274438,0.788483483,0.964669333,0.850975602
JN.A,83.75,0.75,144.025,53.9,133.6898395,0.795,31.49,142.917,2.77276825,4.42125,0.619009507,21.99815774,21.99815774,0,52.61234567,52.61234567,0,7136.83237,7136.83237,0,92.07346161,1.079181246,1,0,2.378216213,-0.743864474,2.125973885,1.702591566,2.119200359,-0.100373137,1.4960554,2.151581767,-0.263305301,1.234558163,1.234558163,-2,1.642071473,1.642071473,-2,3.356677223,3.764236403,3.764236403,0,1.858769065,0.372634813,-1.255272505,0.8,0.8,0.055555556,11,Pacific,West Pacific,43.021167,144.903217,21,26,0.351941176,15,1.176091259,0.202600001,8.268200016,19.60700035,19.40439987,32.58700027,27.66939964,0.666999996,91.546875,6.615999985,2.572158624,8.152200317,0.705379999,-0.151576859,4.25899992,0.629307632,5,-478,-503,JN.A,-1.98178141,-0.197477316,-0.47488413,-2.592962736,0.73026564,-0.167652518,-1.440956297,0.649412198,-1.176205582,-0.138682558,-0.411073467,-0.744721296,-0.880213735,1.724437025,-0.899231945,0.282348388,-1.071717354,1.26712339,1.31951254,1.159169466,1.134665974,0.646420427,0.561807665,0.341994612,0.147961967,0.560436891,0.099513137,0.533176476,0.429534503,0.303896104,0.12522555,0.827588662,0.34713389,0.690811036,0.408550771,0.807791177,0.91182425,0.802627153,0.826729765,0.799916591,0.776832377
VA.B,100,0,401.9,467.2,1327.349121,0.355625,11.25,51.8275,0.126395,0.850745,0.150565555,18.45289155,15.31509729,3.137794256,46.46678095,42.34452595,4.122255004,19605.11953,17867.1525,1737.967031,62.13804801,1.113943352,0.892546607,0.107453393,2.313372934,-1,2.577350131,2.650546802,3.115962161,-0.451248721,1.048758335,1.711588213,-0.843426501,1.248444288,1.162141387,0.438613908,1.60948275,1.558486553,0.539541414,3.824387973,4.185511178,4.134493583,3.114518776,1.730418403,0.360522295,-0.67669361,0.65,0.5,0.210526316,12,Atlantic,West Atlantic,37.2543093,-76.4374474,26.4,18.04,0.292256071,14.683,1.166814799,4.970499992,16.02050018,27.84124994,22.87074995,16.20124984,34.20499897,0.506500006,92.83333333,1.092000008,1.044988042,8.306000233,0.354249999,-0.450690142,16.68800044,1.222404303,250,644,39,VA.B,-0.352112786,0.063704048,2.544725126,0.403945163,-2.317472529,-0.735247251,0.224479634,-2.060886952,-0.208982192,0.044737495,2.202787826,0.872420747,0.040675437,0.110073443,1.610614445,1.628250151,1.297502216,1.096784313,0.42697413,1.662453556,1.092913476,1.189225172,0.578350691,0.185486616,0.544018836,0.034450747,0.372750721,0.576576505,0.989999444,0.886753247,0.320822808,0.506372582,0.924052046,0.996340197,0.835150969,0.771523633,0.718536859,0.892453226,0.819332308,0.911374907,0.780167359
MX.B,93.075,3.375,155.75,186.175,1807.995926,0.313,10.6022,45.6221,0.285685,0.668585,0.508317662,164.5782203,160.9118579,3.429649862,85.6526207,72.44863562,13.10865131,12717.04723,11175.30105,1522.055459,64.60796069,1.278753601,0.854122746,0.144024432,2.91432761,-0.164324736,2.135984597,2.255976891,3.220809739,-0.507057302,1.01305152,1.647037476,-0.453535955,2.064335318,2.048589684,0.359870868,1.820433016,1.740603388,0.584912791,4.196284037,3.952372709,3.87254257,2.701059739,1.677773578,0.456565491,-1.301029996,NA,0.85,0.05,18,Pacific,East Pacific,31.7584722,-116.6227778,25.416,33,-0.189599444,14.12,1.149834697,15.03000005,17.81433296,21.60600026,6.576000055,33.52033361,41.98400116,0.40866666,26.06547619,0.055333334,0.235230385,8.224666913,0.36833334,-0.433758969,5.229000012,0.718418643,5,-943,1561,MX.B,2.42529743,2.345101525,0.679545483,1.072179001,-1.148401334,-1.276167168,0.595829266,-1.021252807,1.439436439,1.646896391,0.588234266,-1.414927222,2.626640971,-0.126767203,1.874620666,0.312198063,0.311355697,1.02691735,1.026835483,1.383930157,1.363181833,1.620831563,1.550350137,0.036333906,0.632329392,0.236211927,0.83842383,0.955672143,0.643806374,0.062337662,0.870083003,0.459247496,0.984737028,0.697587122,0.657586042,0.756647991,0.848442345,0.842742409,0.867216833,1,0.976117018
NC.B,99,0,151.2,217.65,419.3722944,0.3485,6.1345,25.674,0.12898,0.43817,0.301817744,4.800742521,3.786873684,1.013868837,5.53018207,3.552876071,1.977306,855.0461512,552.4692193,302.5769319,46.6870496,1.322219295,0.598235206,0.401764794,1.536371273,-1,2.157715705,2.307031355,2.606041037,-0.459206149,0.785056913,1.405801029,-0.527903685,0.530682267,0.373544997,-0.63401725,0.488020948,0.115908285,-0.493508453,2.692932627,2.65015974,2.276356371,1.622262827,1.626253742,0.185050007,NA,0.8,1,NA,20,Atlantic,West Atlantic,34.670544,-76.574561,24.4,25,0.20310091,14.2,1.152288344,13.58224988,21.36199999,28.63925028,15.05700016,34.94900036,35.64999962,0.484249994,118.0595238,0.307999998,0.554977475,8.28550005,0.114250001,-0.942143787,4.128000081,0.615739697,100,600,20,NC.B,2.027348448,-1.203950135,1.113986008,1.247949478,-0.51546345,-0.98955066,0.6935081,-0.458392445,1.20325004,-0.845499059,0.964298576,0.809003412,0.008393344,-1.011878657,0.326632968,0.376995307,0.438955854,0.958543403,0.912417917,-0.171783854,-0.34389741,-0.123892671,-0.276744243,0.115365252,0.655558369,0.345445903,0.771701911,0.365932732,0.724442199,0.863896104,0.313966077,0.283133494,0.628913575,0.712296552,0.680561647,0.742090233,0.82366417,0.565078794,0.564766779,0.641742218,0.607784997
BB.A,83.2,17.8,186.85,63.45775,327.0626432,0.74425,14.72,67.811875,0.86605,2.89455,0.3369484,6.302664671,6.070315907,0.232348765,3.59174049,3.266047522,0.325692968,613.9144216,565.8458276,48.06859398,64.86026744,1.322219295,0.830903131,0.169096869,2.95128001,0.9765027,2.174830352,1.687974091,2.403829079,-0.13149055,1.143617918,1.810131999,-0.573270061,0.622722043,0.578369436,-1.240584703,0.340982046,0.226351648,-1.223396138,2.793130625,2.510738085,2.393971764,0.873876759,1.597411606,0.467901436,-0.726998728,0.526315789,0.4,0.1875,20,Pacific,East Pacific,38.319755,-123.055136,13,33,-0.138913855,14.5,1.161368002,10.81333319,12.19699987,14.38699977,3.573666732,33.45366669,35.31733449,0.546333313,91.58333333,3.673000018,1.916507244,8.20966657,0.754900018,-0.122110564,7.664000193,0.884455507,5,-898,308,BB.A,0.234226516,2.611866561,-0.635559107,-1.152979429,0.55323047,-0.630382279,-0.640731526,0.491977982,0.139015602,1.834237694,-0.550158384,-1.350068584,0.497721908,0.471636692,-0.182536777,0.428027309,-1.108250733,0.920265901,0.842620032,-0.338346642,-0.532282867,-0.007607233,-0.167094048,0.214401977,0.338263204,0.529883726,0.471059009,1,0.399711872,0.085714286,0.417899675,0.578314201,0.51187483,0.723881175,0.401972593,0.733940423,0.808548797,0.535350691,0.531389774,0.665620011,0.629889864
