"Site","Zostera.AG.mass.site","Zostera.BG.mass.site","Zostera.shoots.core.site","Zostera.sheath.width.site","Zostera.sheath.length.site","Zostera.longest.leaf.length.site","epibiota.filter.site","epibiota.zostera.marina.site","periphyton.mass.per.g.zostera.site","mesograzer.abund.per.g.plant.site","crustacean.abund.per.g.plant.site","gastropod.abund.per.g.plant.site","mesograzer.mass.per.g.plant.site","crustacean.mass.per.g.plant.site","gastropod.mass.per.g.plant.site","mesograzer.mass.per.area.site","crustacean.mass.per.area.site","gastropod.mass.per.area.site","periphyton.mass.per.area.site","log10.grazer.richness.site","crust.pct.mass.site","gast.pct.mass.site","Leaf.PercN.site","leaf.CN.ratio.site","log10.Zostera.AG.mass.site","log10.Zostera.BG.mass.site","log10.Zostera.shoots.core.site","log10.Zostera.sheath.width.site","log10.Zostera.sheath.length.site","log10.Zostera.longest.leaf.length.cm.site","log10.periphyton.mass.per.g.zostera.site","log10.mesograzer.abund.per.g.plant.site","log10.crustacean.abund.per.g.plant.site","log10.gastropod.abund.per.g.plant.site","log10.mesograzer.mass.per.g.plant.site","log10.crustacean.mass.per.g.plant.site","log10.gastropod.mass.per.g.plant.site","log10.mesograzer.abund.per.area.site","log10.mesograzer.mass.per.area.site","log10.crustacean.mass.per.area.site","log10.gastropod.mass.per.area.site","log10.periphyton.mass.per.area.site","log10.Leaf.PercN.site","grazer.richness.site","Ocean","Coast","Latitude","Longitude","Temperature.C","Salinity.ppt","log10.mean.fetch","day.length","log10.day.length","sst.min","sst.mean","sst.max","sst.range","salinity","parmean","cloudmean","precipitation","nitrate","sqrt.nitrate","ph","phosphate","log10.phosphate","chlomean","log10.chlomean","pop.density.2015","FC1","FC2","Site.1","PC1.env.pac","PC2.env.pac","PC3.env.pac","PC1.zos.site","PC2.zos.site","PC1.env.global","PC2.env.global","PC3.env.global","zLatitude.pac","zPC1.zos.pac","zPC2.zos.pac","zPC1.env.global.pac","zPC2.env.global.pac","zPC3.env.global.pac","zFC1.global.pac","zFC2.global.pac","zPC1.env.pac","zPC2.env.pac","zPC3.env.pac","zperiphyton.area.pac","zperiphyton.perg.pac","zmesograzer.mass.area.pac","zmesograzer.mass.perg.pac","rLatitude.pac","rPC1.zos.pac","rPC2.zos.pac","rPC1.env.global.pac","rPC2.env.global.pac","rPC3.env.global.pac","rFC1.global.pac","rFC2.global.pac","rPC1.env.pac","rPC2.env.pac","rPC3.env.pac","rperiphyton.area.pac","rperiphyton.perg.pac","rmesograzer.mass.area.pac","rmesograzer.mass.perg.pac"
"BB.A",186.85,63.45775,327.062643237,0.74425,14.72,67.811875,0.86605,2.89455,0.336948400217078,6.30266467139904,6.07031590656126,0.232348764837783,3.59174049004528,3.26604752186612,0.32569296817916,613.914421609495,565.845827633683,48.0685939758123,64.8602674417604,NA,0.830903131473094,0.169096868526906,2.95128000975,12.0378513098105,2.17483035194805,1.68797409125828,2.40382907935926,-0.131490549758177,1.14361791790011,1.81013199852622,-0.573270060720796,0.62272204272368,0.578369436032219,-1.24058470288494,0.340982045942594,0.226351647652606,-1.22339613841618,2.79313062527866,2.51073808489862,2.39397176354914,0.873876759360143,1.59741160628417,0.467901435869614,NA,"Pacific","East Pacific",38.319755,-123.055136,13,33,-0.138913854601613,14.5,1.16136800223497,10.8133331934611,12.1969998677572,14.3869997660319,3.57366673151652,33.4536666870117,35.3173344930013,0.546333312988281,91.5833333333333,3.67300001780192,1.91650724439067,8.20966657002767,0.754900018374125,-0.12211056405787,7.664000193278,0.884455507022937,5,-898,308,"BB.A",-0.262692961968546,1.82029061994298,-0.625611805887334,-1.15296663375164,0.553009360617075,0.234226516466359,2.61186656254373,-0.635559105464645,-0.149401118947617,0.262103238395734,0.56663291210918,-0.0576395993621428,1.30767153399436,-0.774830472397323,-0.58514317771619,0.317233645691059,-0.133749121444764,1.26497385823701,-0.684396181186221,0.423229572877219,0.52587391165776,-0.904667131244491,-0.809333203067152,0.425185242992251,0.478084057522153,0.782313473874981,0.464055535470779,1,0.392192172208254,0.235042735042735,0.417899675207506,0.488817850011943,0.99831288108735,0.392963759281094,0.660614352156791,0.742499269092982,0.257243835955838,0.320971921270779
"BB.B",241.05,183.45,389.928698771,0.823125,17.06125,73.30875,0.5294,4.11825,0.141452707605074,5.32805141585769,4.71071193010508,0.617339485752615,4.91802697702187,2.07682410207113,2.84120287495075,1200.10065952987,466.110285180888,733.990374348986,32.6929949432894,NA,0.547922611621681,0.452077388378319,2.07589790215,16.0864192557818,2.36656610797771,2.24322536564847,2.50171549838487,-0.0871091880591195,1.22092681819923,1.8568656337596,-0.887172773298112,0.573257662947565,0.520412676283072,-0.518774813007565,0.425600166065277,0.0912409380585213,-0.114413000889982,2.91722593037413,2.76910657590543,2.43391880773888,2.17477873023463,1.47532743138951,0.307456607533188,NA,"Pacific","East Pacific",38.1496437,-122.9063846,18.4,34,-0.234704070301943,14.5,1.16136800223497,10.7609996795654,12.4310002326965,14.5749998092651,3.81400001049042,33.4665012359619,35.056001663208,0.541500002145767,82.9074074074074,4.7590000629425,2.18151325069148,8.21449995040894,0.789450019598007,-0.10267536014573,8.31249976158142,0.919731645854755,5,-1063,627,"BB.B",0.0280567064842789,1.08503030210677,-0.206169861736495,-1.43820901614958,-0.679177321763349,0.53864230528175,1.79819094440253,-0.659987379937316,-0.177368681605247,0.0794960419201704,-0.667952685058308,0.129034811470756,0.670892600900153,-0.810067636063788,-1.39274354846626,0.656651834439837,0.0142849652871753,0.754019689231305,-0.225542204799056,0.265938531915204,0.0659238831068745,-0.549231464554299,-0.698168086674174,0.416029789575801,0.424805706588001,0.452680443724382,0.527803426577261,0.800554055437117,0.382093004965566,0,0.533020570191267,0.536314782935433,0.837093645443491,0.523394827057861,0.616610167255852,0.601829678990026,0.345307646881774,0.348804564593128
"BC.A",45.4375,75.8125,75.0300119992857,0.7545,16.7416,59.6941,0.035585,2.70468,0.0146094334953704,4.70411147084149,2.20078916689809,1.55486762699658,18.2932781058012,3.26823255019873,8.5468817815326,1051.28808301136,139.178007727605,590.24654281865,0.582186613338364,NA,0.221651430600343,0.454024037538951,2.7535080612,13.0294762753586,1.615899597544,1.83368354656505,1.80918455889117,-0.126279978535178,1.21279478068938,1.76710251636642,-1.85797369363902,0.536460502190365,0.194375964027706,0.0549329700992612,1.05788145470498,0.203651572561124,0.697753559514609,2.26558496770213,2.85226677432134,1.75488599116471,2.50876828848238,-0.211805989490883,0.433926704343997,NA,"Pacific","East Pacific",49,-123.1,24.5,26,0.863322860120456,14,1.14612803567824,5.70333328346411,10.9563334782918,16.5971666971842,10.8938334782918,25.9654995600382,33.0551675160726,0.681166668732961,87.2,7.58916664123535,2.75484421360544,7.89099995295207,1.24956665436427,0.0967594272095851,11.3398333390554,1.05460667180023,5,-893,-647,"BC.A",-2.41670000233769,0.664522271698624,0.316612813478767,-1.26679123102736,1.11867630372874,-1.43190476552488,1.84686122145032,-0.0355725744023989,1.60651057672655,0.189234717162161,1.13340113866579,-1.07934769356547,0.708981744043817,0.0906348152293914,-0.560670439208612,-0.698892906832709,-1.23045360517473,0.461796205894509,0.346362709943036,-1.90773362699528,-1.356554780304,-0.434828580321522,0.132476968342745,1,0.456823588486616,0.933639982414826,0.115149994313414,0.812483980780227,0.640239340964963,0.242165242165242,0.0732587513533021,0.136938762900487,0.744889589818655,0.685961073696752,0.00849751818374626,0.166783525948921,0.373652449923835,0.556774909013327
"BC.B",70.35,253.175,210.084033609,0.5535,9.987,50.169,0.05265,1.87345,0.0292714193723686,40.8477788549634,24.1909657832966,13.1914825856631,63.8775357657881,15.1498824267513,17.4337215911318,4472.0841607254,1113.11396547921,1151.71871404405,2.09626453128512,NA,0.257501125645126,0.286121248196224,1.97843164205,18.4588767813298,1.78871602594962,2.39297444514067,2.21180849357636,-0.258348775221173,0.992688479618301,1.68850309037684,-1.548802594728,1.58631378613752,1.34244233283811,1.02025152964295,1.73909310224069,1.10313751583516,1.10696253689608,3.36650061357379,3.51927345786981,2.88368905746984,2.88738189942324,0.245588923248988,0.293021293461701,NA,"Pacific","East Pacific",49,-122.8,22.5,26,0.89209460269048,14,1.14612803567824,4.17625002190471,10.664999961853,17.0485000610352,12.8722500801086,27.1259994506836,33.2987499237061,0.681250005960464,92.0980392156863,7.80375003814697,2.79351929260332,7.87950003147125,1.1205749809742,0.0494409217669728,20.7454996109009,1.31692389834285,250,-848,-561,"BC.B",-2.51444497520713,-0.0447645268394698,1.32650332524792,-0.107288467115288,0.28006352300372,-1.40293508322897,1.12698743123606,0.53153785295706,1.60651057672655,0.931528156319673,0.293155682771436,-1.06158285161805,0.145611705818617,0.908677160716382,-0.34041579264041,-0.607388316762506,-1.28022008597027,-0.0311081953661072,1.451145585149,-1.31843430120092,-0.903537810161667,0.4827676959505,1.02740316118142,1,0.67339868032778,0.709295346990449,0.121216552686011,0.636030484012883,0.874694830540489,0.306267806267806,0.104294478527607,0.120971121579715,0.589365522031191,1,0.173361558345551,0.305332732479853,0.600998866034621,0.780839456717792
"JN.A",144.025,53.9,133.6898395475,0.795,31.49,142.917,2.77276825,4.42125,0.619009506657133,21.9981577433156,21.9981577433156,0,52.6123456679262,52.6123456679262,0,7136.83237048547,7136.83237048547,0,92.0734616130971,NA,1,0,2.37821621295,15.5130481630007,2.1259738854612,1.70259156625906,2.11920035869813,-0.100373136545323,1.49605540035199,2.15158176741333,-0.263305301394926,1.23455816251617,1.23455816251617,-2,1.64207147291861,1.64207147291861,-2,3.35667722345295,3.7642364033698,3.7642364033698,0,1.85876906486766,0.372634813336879,NA,"Pacific","West Pacific",43.021167,144.903217,21,26,0.351941176353608,15,1.17609125905568,0.202600000798702,8.26820001602173,19.6070003509521,19.4043998718262,32.5870002746582,27.6693996429443,0.666999995708466,91.546875,6.61599998474121,2.5721586235575,8.15220031738281,0.705379998683929,-0.151576859077876,4.25899991989136,0.629307631904991,5,-478,-503,"JN.A",-2.25697168584223,-1.38144747062345,-1.00072508664296,-2.59291007727808,0.730080525574887,-1.98178140838439,-0.197477314131379,-0.474884129400633,0.623545973275723,-0.659723430892496,0.744048812683805,-1.41654406152003,-0.890908534768981,-0.543060912291599,1.47056685692036,-0.545675918808183,-1.14912854095898,-0.960008757788933,-1.09475623904551,0.75995779141377,0.980053803036006,0.819761450525206,0.899943218788614,0.67821698490204,0.20912748990204,0.829683329021101,0,0.311381304056494,0.458618618202248,0.833333333333333,0.125225550342837,0.163032017537501,0.296273405854943,0.276317280719553,0.754818387550164,0.881404139594833,0.68449345328986,0.748927043637008
"JN.B",208.375,83.65,192.57703081,0.9575,70.026,247.431,1.39737415,9.16675,0.166186837082841,8.34594177399156,2.02097654864244,6.32496522534913,8.32997641776111,5.00086882261342,3.3291075951477,1577.51313045999,942.176318575351,635.33681188464,33.8184671978779,NA,0.568693221073225,0.431306778926775,2.36109257945,14.539119268302,2.25516850174602,1.87831952160832,2.27316846698113,-0.019239308186757,1.84418846081741,2.38774640042705,-0.810080399408504,0.857912590939978,0.211685462726358,0.700324842938917,0.832991357865667,0.556672332198339,0.409008286046401,3.10994854946191,3.08500940362811,2.80838448328163,2.65996781805851,1.44128969720172,0.370112331509771,NA,"Pacific","West Pacific",43.052222,144.842699,16,30,0.421603926869831,15,1.17609125905568,0.374666670958201,8.51166661580404,21.2093334197998,20.8346665700277,32.5710004170736,27.3436660766602,0.674999992052714,91.5648148148148,6.58666658401489,2.56645019122033,8.15233357747396,0.703433334827423,-0.152777054858182,5.18633325894674,0.714860419851664,5,-600,-693,"JN.B",-2.05983604797343,-1.49874139345161,-1.23494124420994,-3.71253976548454,0.0195375385747798,-1.93835909373667,-0.200235755919838,-0.508583024419345,0.628651646198879,-1.37649082266445,0.0321224865332813,-1.38991654973621,-0.89306727908907,-0.591670709945618,0.873432037335459,-0.747837222451655,-1.04875768148554,-1.04151977832715,-1.35098005436114,0.222084931339981,0.178884485710291,-0.114646226457401,-0.162967243305119,0.679888376548849,0,0.639599763595266,0.00909309269576899,0.31070516234135,0.444686779624435,0.65954415954416,0.0566582461205341,0.195236140825102,0.270554573864014,0.203484642143362,0.604341560369653,0.636377174760531,0.452981793923204,0.482803922149258
"JS.A",411.375,179.1,120.957473881,0.959875,21.82425,97.7775,0.06,7.8495,0.00796433614365241,1.50497688511278,1.3064342011705,0.198542683942279,0.665975921211319,0.554889780362005,0.111086140849314,243.865394503933,202.902583539636,40.9628109642968,3.04158654608858,NA,0.833223323736741,0.166776676263259,1.4014570058,25.1591448469536,2.58275697366008,2.2198394441046,2.07035654866436,-0.0191004204191072,1.33333900510154,1.98829015020116,-2.13176710981195,-0.202920616047062,-0.27074371692416,-1.29557273745045,-0.634851987337677,-0.711174345866313,-1.479139668365,2.28310067187838,1.84088512103021,1.76124496335572,0.781238245168527,0.373585585757728,0.142586878263497,NA,"Pacific","West Pacific",34.297834,132.91631,22,32.5,-0.530177984021837,14.2,1.15228834438306,11.7449998855591,19.0270004272461,27.0005006790161,15.2554998397827,32.6564998626709,34.3955001831055,0.665499985218048,110.578431372549,4.375,2.09165006633519,8.23600006103516,0.238399997353554,-0.622693753752845,1.76600003242493,0.246990707215484,100,-552,-762,"JS.A",1.93827852914958,-2.57355976978482,-0.652244510551073,-2.5423588956175,-0.582143170495841,1.30657323638561,-1.46781337241056,-0.584018167245673,-0.810634838115813,-0.627361446379666,-0.570729620322042,0.599946831776995,-1.88506790470324,-0.700483981916513,1.10837032700821,-0.821253695880074,0.986867133577975,-1.78844289792046,-0.713531375239458,-1.153525718225,-1.757734141106,-1.82617901479187,-2.09131280427494,0.208723959349473,0.218569577624092,0.478638897721473,0.68861629887869,0,0.413500290204913,0.727920227920228,0.0317574882713822,0.84836906063392,0.0348810404434151,0.384681964492765,0.219496848268242,0.0440881618034215,0.0289272771973878,0
"JS.B",148.9,53.825,95.492742541,0.884,17.957,86.327,0.0373333333333333,6.2725,0.00776402509738202,3.85253720743636,3.02391464456597,0.828622562870379,6.20352405607249,4.28574058762466,1.91778346844782,880.058483713446,573.37812528917,306.680358424275,0.634813626138212,NA,0.763435736566937,0.236564263433063,1.32497478725,26.8667904593971,2.12451575868841,1.67130678888036,1.93056254781421,-0.0553885356176408,1.24452593560345,1.92824103155454,-2.23014937972908,0.367000900637287,0.223639367164831,-0.471016836806281,0.54600988027877,0.381098573385041,-0.398017327053168,2.48608420685803,2.66524103864938,2.50014341164514,1.7127516379358,-0.235381303939961,0.119190007673238,NA,"Pacific","West Pacific",34.274018,132.26617,20.4,30.4,-0.253755128279802,14.27,1.15442397311465,10.9667499065399,19.5077495574951,29.6965003013611,18.7297501564026,33.9305000305176,34.2214994430542,0.683750003576279,145.563725490196,1.35225000977516,1.16286285080192,8.28774976730347,0.217975001782179,-0.661593310113611,6.61699998378754,0.820661133579521,250,-553,-850,"JS.B",0.964644955363099,-2.73263908051631,1.0214259364668,-2.06033602536711,1.10122735125238,0.720303213975928,-1.40767386989922,0.634611816444305,-0.81455036561019,-0.318778814887227,1.1159182152411,0.240433248568314,-1.8380029965357,1.05735872744818,1.10347577930669,-0.91488629967284,0.491145306364876,-1.89899182195326,1.11740220325754,-1.93810763537026,-1.90189004051111,-0.692118533859379,-0.539982583663928,0.207442173374255,0.308603125316384,0.928972060613702,0.565845145342262,0.0147412305548939,0.917307795152008,0.726495726495726,0,0.689316055372461,0,0.905132116307949,0,0,0.30990551638593,0.388409800722118
"KO.A",119.725,39.325,78.821656061,1.0745,26.405,118.137,0.624,6.0915,0.103174070027987,8.64018709666974,0.506044461614338,6.36420242408281,38.5892097556577,0.318193185435577,36.6688567468716,4344.32225603949,34.3139040058266,4121.61526905676,12.4820137121533,NA,0.00808261287422888,0.94388644563949,2.50389628405,13.7636467055837,2.06396480394676,1.56834362421146,1.87887639999314,0.0301424079187564,1.41026741708792,2.0706958322664,-0.99750281945784,0.901812311148767,-0.915454344554245,0.76024591045494,1.54406230585744,-1.1626776502475,1.51830623757578,2.96177558373565,3.60408735832378,0.888244208091079,3.57832963524104,1.06219212077912,0.396516997642603,NA,"Pacific","West Pacific",34.89466111,128.0202722,23.8,31.3,0.167686475851491,14.14,1.15044940946088,8.55839996337891,17.6694000244141,27.5072002410889,18.94880027771,32.7741989135742,34.3526000976562,0.551199996471405,131.265625,1.44619998931885,1.20258055419122,8.05120010375976,0.343919992446899,-0.463542577428937,6.73720006942749,0.828479444452011,50,-515,-203,"KO.A",0.602869665940911,-0.924164439775147,0.451078986221447,-2.80464753715372,1.36673375681111,0.603057877754915,0.325174163971356,0.83463106835239,-0.712512023260498,-0.795274058438465,1.38194152887185,0.168535847493511,-0.481883804045614,1.34588140324397,1.28946859196428,-0.226473860423753,0.306948795129693,-0.64222923758429,0.49346373050848,-0.266337523684488,-0.0957386506907213,0.599445566131123,0.771185921319256,0.240845416320759,0.169578589074875,1,0.541292729860644,0.439492206488989,1,0.780626780626781,0.233489714904367,0.630216360619586,0.396541051092793,0.727775123853777,0.467699117868063,0.552387346230615,0.629907326444655,0.716689809044946
"KO.B",190.825,110.175,160.8280254755,0.932,16.68,77.973,0.2175,5.5505,0.0409804646669614,3.2526186267489,0.624443668897291,0.50934337535995,4.07506452358133,1.05426048059733,0.734560243417872,761.096506608643,227.803208567268,128.075843114913,8.13266774817653,NA,0.228779910300523,0.223699476355619,1.0926171659,32.3975392321618,2.25680859931527,2.03597166138985,2.18614332056933,-0.0315731720737252,1.21152485501731,1.88576069103955,-1.40268011147396,0.399232667734342,-0.671149481979832,-0.84795007363381,0.387902245108173,-0.729566258879373,-0.907259797530021,2.65248232554321,2.6402835355184,1.44985860281557,1.26413672611334,0.847093235437231,0.0368301864063634,NA,"Pacific","West Pacific",34.80097222,128.5836944,23.3,33.6,0.20581314067537,14.25,1.15381486434453,10.7395002841949,18.1360001564026,27.8505001068115,17.1110000610352,32.9057502746582,34.4569997787476,0.525749996304512,139.699074074074,1.29749995470047,1.13907855510516,8.10799980163574,0.309650003910065,-0.509128910170413,5.04275000095367,0.702667438137804,100,-361,-195,"KO.B",1.67637313344143,-2.01534012395342,0.647161971567074,-1.82098675464207,0.129838128660506,1.50288252060549,-1.02960782397683,0.428643060163083,-0.727915173441578,-0.165551587789554,0.142637818200265,0.720327972700661,-1.54213018433128,0.760254043145611,2.04322893799769,-0.217961805533502,0.853518998496215,-1.40051953480762,0.707971265537811,-0.543467033830976,-0.689429942813864,-0.726452390630051,-0.747692866530946,0.235803045425739,0.353309435557938,0.669107238604748,0.729725542661146,0.107411746857694,0.832155938897092,1,0.236376759292674,0.805584134761274,0.157280879574094,0.788749743841445,0.390168585096412,0.370814771979937,0.301398856659949,0.336404941598999
