"X","Site.Code","Site","Subsite","Sampling.Time","Plot.ID","Unique.ID","Ocean","Coast","Latitude","Longitude","Temperature.C","Salinity.ppt","mean.fetch","pop.density.2015","GenotypicRichness","AllelicRichness","Leaf.PercN","Leaf.PercC","Zostera.shoots.per.m2.core","Zostera.sheath.width","Zostera.sheath.length","Zostera.longest.leaf.length","Zostera.aboveground.mean.mass","Zostera.belowground.mean.mass","total.macrophytes.g","Gastropoda.mesograzer.plot.abund","Gastropoda.mesograzer.plot.abund.std.g","Gastropoda.mesograzer.plot.biomass.mg","Gastropoda.mesograzer.plot.biomass.std.mg.g","Gastropoda.mesograzer.plot.richness","Insecta.mesograzer.plot.abund","Insecta.mesograzer.plot.abund.std.g","Insecta.mesograzer.plot.biomass.mg","Insecta.mesograzer.plot.biomass.std.mg.g","Insecta.mesograzer.plot.richness","Malacostraca.mesograzer.plot.abund","Malacostraca.mesograzer.plot.abund.std.g","Malacostraca.mesograzer.plot.biomass.mg","Malacostraca.mesograzer.plot.biomass.std.mg.g","Malacostraca.mesograzer.plot.richness","Polychaeta.mesograzer.plot.abund","Polychaeta.mesograzer.plot.abund.std.g","Polychaeta.mesograzer.plot.biomass.mg","Polychaeta.mesograzer.plot.biomass.std.mg.g","Polychaeta.mesograzer.plot.richness","Polyplacophora.mesograzer.plot.abund","Polyplacophora.mesograzer.plot.abund.std.g","Polyplacophora.mesograzer.plot.biomass.mg","Polyplacophora.mesograzer.plot.biomass.std.mg.g","Polyplacophora.mesograzer.plot.richness","mesograzer.total.plot.abund","mesograzer.total.plot.biomass.mg","mesograzer.total.plot.richness","mesograzer.total.plot.abund.std.g","mesograzer.total.plot.biomass.std.mg.g","Gastropoda.mesograzer.site.richness","Insecta.mesograzer.site.richness","Malacostraca.mesograzer.site.richness","Polychaeta.mesograzer.site.richness","Polyplacophora.mesograzer.site.richness","grazer.richness.site","epifauna.total.plot.abund","epifauna.total.plot.biomass.mg","epifauna.total.plot.abund.std.g","epifauna.total.plot.biomass.std.mg.g","Zostera.production","epibiota.filter","epibiota.zostera.marina","periphyton.mass.per.g.zostera","pct.cover.bare","pct.cover.macroalgae","pct.cover.seagrass","predation.amphipods","predation.gastropods","predation.squidpops","sst.min","sst.mean","sst.max","sst.range","chlomean","nitrate","parmean","cloudmean","day.length","ph","phosphate","salinity","precipitation","crust.pct.mass","gast.pct.mass","mesograzer.abund.per.area","crustacean.mass.per.area","gastropod.mass.per.area","mesograzer.mass.per.area","periphyton.mass.per.area","leaf.CN.ratio","log10.Zostera.AG.mass","log10.Zostera.BG.mass","log10.Zostera.shoots.core","log10.Zostera.sheath.width","log10.Zostera.sheath.length","log10.Zostera.longest.leaf.length","log10.epibiota.filter","log10.epibiota.zostera.marina","log10.periphyton.mass.per.g.zostera","log10.periphyton.mass.per.area","log10.mesograzer.abund.per.g.plant","log10.crustacean.abund.per.g.plant","log10.gastropod.abund.per.g.plant","log10.mesograzer.mass.per.g.plant","log10.crustacean.mass.per.g.plant","log10.gastropod.mass.per.g.plant","log10.mesograzer.abund.per.area","log10.crustacean.mass.per.area","log10.gastropod.mass.per.area","log10.mesograzer.mass.per.area","log10.grazer.richness.site","log10.day.length","log10.Leaf.PercN","sqrt.nitrate","log10.phosphate","log10.chlomean","log10.mean.fetch","log10.pct.cover.bare","log10.pct.cover.macroalgae","log10.pct.cover.seagrass","sqrt.pct.cover.seagrass","log10.predation.amphipods","log10.predation.gastropods","log10.predation.squidpops","log10.Zostera.shoots.core.imputed","log10.Zostera.AG.mass.imputed","log10.Zostera.BG.mass.imputed","log10.Leaf.PercN.imputed","log10.crustacean.mass.per.g.plant.imputed","log10.crustacean.mass.per.area.imputed","log10.gastropod.mass.per.g.plant.imputed","log10.gastropod.mass.per.area.imputed","log10.mesograzer.mass.per.g.plant.imputed","log10.mesograzer.mass.per.area.imputed","log10.mesograzer.abund.per.g.plant.imputed","log10.mesograzer.abund.per.area.imputed","PC1.zos","PC2.zos","zLatitude","zPC1.zos","zPC2.zos","zmeso.mass.perg","zmeso.mass.area","zmeso.abund.perg","zmeso.abund.area","rLatitude","rPC1.zos","rPC2.zos","rmeso.mass.perg","rmeso.mass.area","rmeso.abund.perg","rmeso.abund.area","PC1.env.atl","PC2.env.atl","PC3.env.atl","zPC1.env.atl","zPC2.env.atl","zPC3.env.atl","zPC1.zos.global.atl","zPC2.zos.global.atl","zmeso.area.atl","zmeso.perg.atl"
81,"CR","CR.A","A",1,1,"CR.A.1.1","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.529783607,35.57131195,318.3091418,0.46,7.63,37.35,71,33.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2428.698751934,0.0892,0.6811,0.130964616062252,NA,0,98,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,9.29848774041991,23.2525121770376,1.85733249643127,1.53781909507327,2.50284911168504,-0.337242168318426,0.882524537954881,1.57229060615142,-1.04963514562388,-0.166789119717391,-0.879542501437534,0.973057979256472,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.184630002757285,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.99122607569249,9.89949493661167,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.50284911168504,1.85733249643127,1.53781909507327,0.184630002757285,-2,0,-2,0,-2,0,-2,0,0.498712796718851,1.19203611557767,-0.0236286190837631,0.285361746474609,0.914239424257504,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.544733540764781,0.535673819980397,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-0.489377070171754,0.840017284704259,-2.52534847319669,-2.68743847077096
82,"CR","CR.A","A",1,2,"CR.A.1.2","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.616959214,35.68050003,318.3091419,0.57,10.66,52.96,70.5,58.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3393.175452654,1.2179,1.7253,0.705906219208254,NA,0,97,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,49.7663884541819,22.0664193141485,1.85430604180108,1.77451696572855,2.50284911182147,-0.244125144327509,1.02775720469055,1.72394797643164,0.0856116304716464,0.236864622317387,-0.150638197492832,1.69780791581779,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.208699065448681,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.98677173426624,9.8488578017961,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.50284911182147,1.85430604180108,1.77451696572855,0.208699065448681,-2,0,-2,0,-2,0,-2,0,-0.191030143180515,0.812214223580413,-0.0236286190837631,-0.0915080793201735,0.619018402612173,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.465437565179323,0.488474948715645,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-1.11562091562637,0.564182262141727,-2.52534847319669,-2.68743847077096
83,"CR","CR.A","A",1,3,"CR.A.1.3","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.540352106,34.57899475,477.4637128,0.57,10.77,51.7,83,71.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5142.284186856,0.7801,1.513,0.515598149372108,NA,0,98,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,42.794646397885,22.4487600044869,1.92427928606188,1.86033800657099,2.67894037083168,-0.244125144327509,1.03221570329798,1.71349054309394,-0.107849722098636,0.179838928023187,-0.286847153948456,1.63240309206951,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.18762000668967,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.99122607569249,9.89949493661167,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.67894037083168,1.92427928606188,1.86033800657099,0.18762000668967,-2,0,-2,0,-2,0,-2,0,-0.0757235960239378,0.405427199826757,-0.0236286190837631,-0.0285055376105948,0.302838415952832,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.478693728626977,0.437925233781206,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-1.0109297164559,0.268764567060459,-2.52534847319669,-2.68743847077096
84,"CR","CR.A","A",1,4,"CR.A.1.4","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.62482214,34.97773743,302.3936848,0.56,10.22,52.98,78,46.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3090.463458656,0.8278,1.4172,0.584109511713237,NA,0,97,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,45.5605419136325,21.5271176880935,1.89762709129044,1.67669360962487,2.48057271710314,-0.2518119729938,1.00945089579869,1.72411195396121,-0.0820745779352589,0.15143114366114,-0.232762841812379,1.65954106152793,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.210805828180059,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.98677173426624,9.8488578017961,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.48057271710314,1.89762709129044,1.67669360962487,0.210805828180059,-2,0,-2,0,-2,0,-2,0,-0.213251596968289,0.913790658189892,-0.0236286190837631,-0.103649697499153,0.697969878112478,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.462882886102382,0.501097425623058,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-1.13579661858272,0.637949305913206,-2.52534847319669,-2.68743847077096
85,"CR","CR.A","A",1,5,"CR.A.1.5","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.65380621,35.76926804,334.224599,0.616666667,12.85,60.81666667,155.5,56.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4294.78609715,0.7027,2.03,0.34615763546798,NA,0,98,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,53.8275123152709,21.62845188494,2.19451434188247,1.75966784468963,2.52403841089791,-0.209949526081895,1.10890312766731,1.78402261300481,-0.153230046462781,0.307496037913213,-0.459473278325782,1.73181038667664,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.218484618361373,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.99122607569249,9.89949493661167,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.52403841089791,2.19451434188247,1.75966784468963,0.218484618361373,-2,0,-2,0,-2,0,-2,0,-0.762006810925822,0.273569783448118,-0.0236286190837631,-0.403484998340837,0.200350692114373,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.399795498713222,0.421539866449606,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-1.63403234601499,0.173006807467965,-2.52534847319669,-2.68743847077096
86,"CR","CR.A","A",1,6,"CR.A.1.6","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.580103993,35.86916733,254.6473135,0.483333333,9.616666667,45.88333333,60,35,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2448.85833157655,0.4472,1.3705,0.32630426851514,NA,0,97,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,19.5782561109084,22.7005105289928,1.78532983501077,1.55630250076729,2.40593909877931,-0.315753252784201,0.983024562787141,1.66165496097814,-0.349498205121633,0.136879039875517,-0.485048330834729,1.29398660857869,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.198685670561907,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.98677173426624,9.8488578017961,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.40593909877931,1.78532983501077,1.55630250076729,0.198685670561907,-2,0,-2,0,-2,0,-2,0,0.106569285394432,1.33446924285449,-0.0236286190837631,0.0710977819591476,1.02494724346638,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.49965094476965,0.553373386487278,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-0.84541907697752,0.943455358453676,-2.52534847319669,-2.68743847077096
87,"CR","CR.A","A",1,7,"CR.A.1.7","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.574293256,34.83233261,270.5627706,0.52,11.5,52.03,57,39,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3111.4718619,0.6335,1.4765,0.429055198103623,NA,0,98,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,24.4561462919065,22.1256951189023,1.76342799356294,1.60205999132796,2.43226803751169,-0.283996656365201,1.06069784035361,1.71625382589604,-0.19825338078054,0.169233451301097,-0.366475798622002,1.39016021200173,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.197085635011434,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.99122607569249,9.89949493661167,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.43226803751169,1.76342799356294,1.60205999132796,0.197085635011434,-2,0,-2,0,-2,0,-2,0,-0.146481372496664,1.25797952904713,-0.0236286190837631,-0.0671670002372269,0.96549471602825,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.470559093836107,0.543868331009598,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-1.07517339257176,0.887906843798793,-2.52534847319669,-2.68743847077096
88,"CR","CR.A","A",1,8,"CR.A.1.8","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.698358297,35.34305573,350.1400561,0.51,10.03,46.73,78,32.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3511.904762683,0.2182,1.0373,0.210353803142774,NA,0,98,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,16.4075966451364,20.8101292833381,1.89762709129044,1.52504480703685,2.5442417969921,-0.292429823902064,1.00130093302042,1.66959578102431,-0.661145253747677,0.0159043778955535,-0.674989932982536,1.21768384856668,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.230029317235934,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.99122607569249,9.89949493661167,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.5442417969921,1.89762709129044,1.52504480703685,0.230029317235934,-2,0,-2,0,-2,0,-2,0,0.0242002322198305,1.0785165864353,-0.0236286190837631,0.0260920139764807,0.826005038414498,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.490181424964948,0.521567224876435,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-0.9202050727777,0.757576902667252,-2.52534847319669,-2.68743847077096
89,"CR","CR.A","A",1,9,"CR.A.1.9","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.702050924,34.6992836,366.0555132,0.52,10.1,47.82,67,27.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697.16068332,0.1677,1.2934,0.129658265037885,NA,0,97,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,8.68710375753827,20.3867481934401,1.83250891270624,1.45484486000851,2.56354695219288,-0.283996656365201,1.00432137378264,1.67960957177976,-0.775466937393914,0.111732856611098,-0.883863112941519,0.943845754551971,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.230972549685905,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.98677173426624,9.8488578017961,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.56354695219288,1.83250891270624,1.45484486000851,0.230972549685905,-2,0,-2,0,-2,0,-2,0,0.0335637566393023,1.26554969489923,-0.0236286190837631,0.0312081661147054,0.971378716250379,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.491257898185346,0.544809043725306,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-0.911703572870628,0.893404464953898,-2.52534847319669,-2.68743847077096
90,"CR","CR.A","A",1,10,"CR.A.1.10","Atlantic","East Atlantic",44.21154996,15.4906946,17,25,1.351875,250,0.84,4.06,1.47938025,34.43419647,350.1400561,0.5,10.12,49.99,69,21,4.0101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,3543.417367732,0.1362,1.4912,0.0913358369098712,NA,0,98,0.85,0.4,0.842105263157895,8.196000099,15.77700043,24.83699989,16.64100075,0.612999976,0.606000006,33.14300156,0.656000018,14.85,8.246999741,0.0348,38.43399811,84.82083333,NA,NA,0,0,0,0,6.30217274678112,23.2760958313456,1.84509804001426,1.34242268082221,2.5442417969921,-0.301029995663981,1.00518051250378,1.69888313675259,-0.865822892423234,0.173535895009906,-1.03462971011657,0.806327388327583,-2,-2,-2,-2,-2,-2,0,0,0,0,NA,1.17172645365323,0.170079816492919,0.778460022094905,-1.45842075605342,-0.212539542484958,0.130936536783167,NA,-1,1.99122607569249,9.89949493661167,-0.0705810742857073,-0.397940008672038,-0.074633618296904,2.5442417969921,1.84509804001426,1.34242268082221,0.170079816492919,-2,0,-2,0,-2,0,-2,0,-0.00670100864702839,1.41947132849846,-0.0236286190837631,0.00920783207527145,1.0910161117821,-2.90657762607264,-2.80525809323774,-2.90682793104995,-2.89355588841239,0.374300672240576,0.486628878212246,0.563936238661092,0,0,0,0,-1.70365237273081,-1.03411536799247,2.2862638850384,-1.00888969662852,-0.721427088863887,1.94416058658931,-0.948261484507851,1.00518574499926,-2.52534847319669,-2.68743847077096
