response,predictor,coefficient,se,df,t,p
zPC1.zos.global.atl,zPC1.env.global.atl,-0.5683545,0.1144164,18,-4.967422,0.0001
zPC1.zos.global.atl,zPC2.env.global.atl,-0.7290074,0.1551759,18,-4.697941,0.0002
zPC1.zos.global.atl,zPC3.env.global.atl,-0.2260412,0.1361326,18,-1.660448,0.1141
zPC1.zos.global.atl,zFC1.global.atl,-0.0738808,0.1791736,18,-0.412342,0.685
zPC1.zos.global.atl,zFC2.global.atl,0.4917947,0.1641886,18,2.995304,0.0078
zPC1.zos.global.atl,zPC1.env.global.atl:zFC1.global.atl,0.5054571,0.2009045,18,2.515908,0.0216
zPC1.zos.global.atl,zPC3.env.global.atl:zFC1.global.atl,1.3539214,0.2909613,18,4.653269,0.0002
zPC1.zos.global.atl,zPC1.env.global.atl:zFC2.global.atl,-0.8858468,0.2780837,18,-3.18554,0.0051
zPC1.zos.global.atl,zPC2.env.global.atl:zFC2.global.atl,-0.3162436,0.1118872,18,-2.826449,0.0112
zPC1.zos.global.atl,zPC3.env.global.atl:zFC2.global.atl,-0.781474,0.1933615,18,-4.041519,0.0008
zPC2.zos.global.atl,zPC1.env.global.atl,-0.3220313,0.12178769,21,-2.644202,0.0152
zPC2.zos.global.atl,zPC2.env.global.atl,-0.2292062,0.13743574,21,-1.667734,0.1102
zPC2.zos.global.atl,zPC3.env.global.atl,-0.4788185,0.10457729,21,-4.578608,0.0002
zPC2.zos.global.atl,zFC1.global.atl,-0.1998638,0.17688076,21,-1.129935,0.2712
zPC2.zos.global.atl,zFC2.global.atl,0.2375358,0.1770366,21,1.341733,0.194
zPC2.zos.global.atl,zPC2.env.global.atl:zFC1.global.atl,-0.1479061,0.08731829,21,-1.693874,0.1051
zPC2.zos.global.atl,zPC1.env.global.atl:zFC2.global.atl,-0.6318423,0.1356033,21,-4.659491,0.0001
zperi.perg.atl,zPC1.zos.atl,0.1570349,0.06316354,547,2.486164,0.0132
zperi.perg.atl,zPC2.zos.atl,-0.0151807,0.04590714,547,-0.330683,0.741
zperi.perg.atl,zPC1.env.global.atl,0.3583544,0.1378482,23,2.599631,0.016
zperi.perg.atl,zPC2.env.global.atl,-0.1092788,0.17678364,23,-0.61815,0.5425
zperi.perg.atl,zPC3.env.global.atl,0.0705491,0.13536012,23,0.521195,0.6072
zperi.perg.atl,zFC1.global.atl,0.2323599,0.22001986,23,1.056086,0.3019
zperi.perg.atl,zFC2.global.atl,-0.0864535,0.20703092,23,-0.417587,0.6801
zperi.perg.atl,zPC2.env.global.atl:zPC1.zos.atl,0.3058183,0.08770426,547,3.486926,0.0005
zperi.perg.atl,zFC1.global.atl:zPC1.zos.atl,-0.2197796,0.07476182,547,-2.939731,0.0034
zmeso.perg.atl,zPC1.zos.atl,-0.0194613,0.06694109,544,-0.290723,0.7714
zmeso.perg.atl,zPC2.zos.atl,0.0363423,0.0467703,544,0.777038,0.4375
zmeso.perg.atl,zPC1.env.global.atl,-0.0498533,0.06758094,22,-0.737683,0.4685
zmeso.perg.atl,zPC2.env.global.atl,-0.0265655,0.09366353,22,-0.283627,0.7793
zmeso.perg.atl,zPC3.env.global.atl,0.3125306,0.07760742,22,4.027071,0.0006
zmeso.perg.atl,zFC1.global.atl,-0.2840514,0.1038095,22,-2.736275,0.0121
zmeso.perg.atl,zFC2.global.atl,0.6557818,0.11513599,22,5.695715,0
zmeso.perg.atl,zperi.perg.atl,-0.0886356,0.04477345,544,-1.979646,0.0482
zmeso.perg.atl,zPC3.env.global.atl:zFC1.global.atl,0.2727439,0.10788672,22,2.528058,0.0192
zmeso.perg.atl,zPC2.env.global.atl:zPC1.zos.atl,-0.1448969,0.0603547,544,-2.400756,0.0167
zmeso.perg.atl,zPC3.env.global.atl:zPC1.zos.atl,-0.246427,0.05704223,544,-4.32008,0
zmeso.perg.atl,zPC3.env.global.atl:zperi.perg.atl,0.1442563,0.05781464,544,2.495152,0.0129
zmeso.perg.atl,zFC2.global.atl:zperi.perg.atl,0.1717605,0.06149707,544,2.792986,0.0054
